50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.369238,,,,,,,,,,,20f9b8f6-3ddb-41a4-bb08-d101d034cc90,97,,"[22.8, 68.6]",3754066,2,,,,,-1.0423858,,Right Foot,,,"[33.6, 50.1]",,Ground Pass,21.421719,,,,,Willian Borges da Silva,,,,,,1,From Throw In,Branislav Ivanović,5594.0,Right Back,5,Manchester City,36,['2020fd60-fcde-483a-8916-e5c3a25d71f9'],8,,,,,,,,,,,,,,,Chelsea,33,00:02:08.851,Pass,
,,,,,,,,,,,,,,,,,0.670947,,,,,,,,,,,2a0ddfa0-a08d-49e6-ab44-1177d66e8ba6,104,,"[86.7, 42.7]",3754066,2,,,,,-0.52639234,,Right Foot,,,"[94.1, 38.4]",,Low Pass,8.558621,,,,,Sergio Leonel Agüero del Castillo,,,,,Recovery,1,From Throw In,Jesús Navas González,6821.0,Right Wing,5,Manchester City,36,"['b55b193d-15fb-456a-b091-80053174fc90', 'e909424e-c2d3-4b56-b46f-377fbc4dc1e1']",11,,,,,,,,,,,,,,,Manchester City,36,00:02:11.185,Pass,True
,,,,,,,,,,,,,,,,,1.363276,,,,,,,,,,,56678f16-0048-4a52-8ee8-fbd1ad124a46,116,,"[33.0, 52.7]",3754066,2,,,,,-1.1784562,,Right Foot,,,"[37.8, 41.1]",,Ground Pass,12.553884,,,,,Nemanja Matić,,,,,Free Kick,1,From Free Kick,Gary Cahill,3645.0,Right Center Back,7,Chelsea,33,['9dd391d2-e943-481b-b044-cd4f0de731ed'],25,,,,,,,,,,,,,,,Chelsea,33,00:02:25.164,Pass,
,,,,,,,,,,,,,,,,,0.882044,,,,,,,,,,,ce3b4646-643f-4c6e-8330-f9871d724386,119,,"[39.7, 36.2]",3754066,2,,,,,0.47951928,,Left Foot,,,"[47.2, 40.1]",,Ground Pass,8.453402,,,,,Francesc Fàbregas i Soler,,,,,,1,From Free Kick,Nemanja Matić,3381.0,Left Defensive Midfield,7,Chelsea,33,['84d33dab-351d-44c4-a00a-450e9a0d83f0'],28,,,,,,,,,,,,,,,Chelsea,33,00:02:28.211,Pass,
,,,,,,,,,,,,,,,,,1.190362,,,,,,,,,,,fff710e9-4108-4521-8306-46acd1f1d2c7,122,,"[47.2, 40.1]",3754066,2,,,,,-1.4915973,,Right Foot,,,"[48.7, 21.2]",,Ground Pass,18.95943,,,,,Nemanja Matić,,,,,,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,7,Chelsea,33,['11ca13fc-ec3f-49a4-aa2e-6d2c3c3ebfa1'],29,,,,,,,,,,,,,,,Chelsea,33,00:02:29.158,Pass,
,,,,,,,,,,,,,,,,,0.608317,,,,,,,,,,,e34e3920-eb58-413a-a33c-009eb470f25c,125,,"[63.8, 19.5]",3754066,2,,,,,0.6121525,,Left Foot,,,"[73.2, 26.1]",,Ground Pass,11.485643,,,,,Eden Hazard,,,,,,1,From Free Kick,Nemanja Matić,3381.0,Left Defensive Midfield,7,Chelsea,33,['93a8e74b-433e-4b8f-aca9-dbfd73211124'],33,,,,,,,,,,,,,,,Chelsea,33,00:02:33.156,Pass,
,,,,,,,,,,,,,,,,,0.847066,,,,,,,,,,,51c0a60e-5912-4434-8d40-a4a43824d872,131,,"[77.3, 25.3]",3754066,2,,,,,-2.744884,,Right Foot,,,"[69.9, 22.2]",,Ground Pass,8.023091,,,,,Nemanja Matić,,,,,Free Kick,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,8,Chelsea,33,['3a1b3146-66df-4c9f-b1d3-83742373a849'],44,,,,,,,,,,,,,,,Chelsea,33,00:02:44.668,Pass,
,,,,,,,,,,,,,,,,,1.787057,,,,,,,,,,,01ffd00c-9167-4c61-80cc-0c76b25c2d81,135,,"[62.8, 24.5]",3754066,2,,,,,-2.501823,,Left Foot,,,"[49.9, 14.9]",,Ground Pass,16.080112,,,,,John Terry,,,,,,1,From Free Kick,Nemanja Matić,3381.0,Left Defensive Midfield,8,Chelsea,33,"['2291b67b-3663-4542-94be-d71e97e93991', 'b6ec6db4-1091-4048-9b24-5e09feff594d']",49,,,,,,,,,,,,,,,Chelsea,33,00:02:49.648,Pass,True
,,,,,,,,,,,,,,,,,0.854281,,,,,,,,,,,61706a6d-c35a-4768-976f-adbe7f372a71,138,,"[49.9, 14.9]",3754066,2,,,,,0.07580384,,Left Foot,,,"[65.7, 16.1]",,Ground Pass,15.845504,,,,,Francesc Fàbregas i Soler,,,,,,1,From Free Kick,John Terry,20287.0,Left Center Back,8,Chelsea,33,['8cf9f125-3d3a-44d6-9313-8504fb91d6e8'],51,,,,,,,,,,,,,,,Chelsea,33,00:02:51.559,Pass,
,,,,,,,,,,,,,,,,,2.276649,,,,,,,,,,,3a3f8e04-37b7-4075-a6bb-44d06815bc09,141,,"[64.6, 16.5]",3754066,2,,,,,2.1445677,,Right Foot,,,"[44.5, 47.6]",,Low Pass,37.029987,,,,,Gary Cahill,,,,,,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,8,Chelsea,33,['d8a1f789-feb0-4fd8-b13a-5e18a73b048e'],53,,,,,,,,,,,,,,,Chelsea,33,00:02:53.120,Pass,
