50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.816312,,,,,,,,,,,,15a0cee6-9d80-48e2-81ba-edc547a49b3d,78,,"[80.3, 49.9]",3754112,2,,,,0.10727885,,Head,,,"[86.8, 50.6]",,Low Pass,,6.537584,,,,,Dušan Tadić,,,,,,1,From Counter,Graziano Pellè,11062.0,Center Forward,8,Southampton,25,['41c298b7-9b45-4783-bdd5-380426f2d53d'],51,,,,,,,,,,,,,,,Southampton,25,00:02:51.023,Pass,
,,,,,,,,,,,,,,,,1.142778,,,,,,,,,,,,89ddf1a8-f454-4a00-8daa-74c544866f89,80,,"[86.8, 50.6]",3754112,2,,,,-0.8190933,,Left Foot,,,"[91.1, 46.0]",,High Pass,,6.2968245,,,Incomplete,,Sadio Mané,,,,,,1,From Counter,Dušan Tadić,3831.0,Right Wing,8,Southampton,25,"['8d928a46-ac3a-4ff8-8af9-8f7ec27a359d', 'd1d3ad7b-0e57-4afe-95ac-e81fcb87d55c']",51,,,,,,,,,,,,,,,Southampton,25,00:02:51.839,Pass,
,,,,,,,,,,,,,,,,0.668788,,,,,,,,,,,,a417b0d6-c808-4d4f-9b83-6b546a415720,84,,"[31.2, 35.2]",3754112,2,,,,-0.1005006,,Right Foot,,,"[43.1, 34.0]",,Low Pass,,11.960351,,,,,Georginio Wijnaldum,,,,,,1,Regular Play,Fabricio Coloccini,26207.0,Left Center Back,9,Newcastle United,37,['08c272b8-d649-4e32-9155-e8b7154f6875'],54,,,,,,,,,,,,,,,Newcastle United,37,00:02:54.039,Pass,
,,,,,,,,,,,,,,,,2.706424,,,,,,,,,,,,b54ed3ba-0986-4863-b26c-e5fcea5f83d1,87,,"[43.1, 34.0]",3754112,2,,,,1.8188022,,Right Foot,,,"[37.2, 57.3]",,Ground Pass,,24.03539,,,,,Daryl Janmaat,,,,,,1,Regular Play,Georginio Wijnaldum,3567.0,Center Attacking Midfield,9,Newcastle United,37,['b23bd2af-1af6-4de7-ae4a-ca257f270c28'],54,,,,,,,,,,,,,,,Newcastle United,37,00:02:54.808,Pass,
,,,,,,,,,,,,,,,,1.654663,,,,,,,,,,,,5f35c165-88b0-475d-bf2a-3cb6ec6a4d74,89,,"[37.2, 57.3]",3754112,2,,,,0.16514868,,Right Foot,,,"[57.0, 60.6]",,Ground Pass,,20.073116,,,,,Moussa Sissoko,,,,,,1,Regular Play,Daryl Janmaat,3650.0,Right Back,9,Newcastle United,37,['396ff2d1-a91d-4f76-8a7c-27b6f33ae4e1'],57,,,,,,,,,,,,,,,Newcastle United,37,00:02:57.515,Pass,
,,,,,,,,,,,,,,,,0.687004,,,,,,,,,,,,209cf04d-ed00-4215-87b3-19be3e0506d4,94,,"[57.3, 59.9]",3754112,3,,,,-2.3487873,,Right Foot,,,"[50.6, 53.1]",,Ground Pass,,9.546204,,,,,Jack Colback,,,,,,1,Regular Play,Moussa Sissoko,3091.0,Right Wing,9,Newcastle United,37,"['3223fa28-d710-41de-9097-1859b578058f', '829b8b5f-927d-47b0-80b0-d78cfaf7cc2d']",0,,,,,,,,,,,,,,,Newcastle United,37,00:03:00.215,Pass,True
,,,,,,,,,,,,,,,,0.790518,,,,,,,,,,,,06950728-b8e8-4be6-aac6-e3f08a2ade75,97,,"[50.6, 53.7]",3754112,3,,,,-2.1293957,,Left Foot,,,"[45.6, 45.7]",,Ground Pass,,9.433981,,,,,Vurnon Anita,,,,,,1,Regular Play,Jack Colback,9649.0,Left Center Midfield,9,Newcastle United,37,['80e8f0c0-4188-4b1c-9f44-5a78e8bf7a02'],1,,,,,,,,,,,,,,,Newcastle United,37,00:03:01.821,Pass,
,,,,,,,,,,,,,,,,0.928872,,,,,,,,,,,,b136c0dc-42c9-413c-8d98-7a8ae09df5e9,100,,"[45.6, 45.7]",3754112,3,,,,2.2740269,,Left Foot,,,"[37.8, 54.9]",,Ground Pass,,12.061509,,,,,Chancel Mbemba Mangulu,,,,,,1,Regular Play,Vurnon Anita,16072.0,Right Center Midfield,9,Newcastle United,37,['05e0fa50-3fcc-4f07-b1a4-ae93f704f4d0'],3,,,,,,,,,,,,,,,Newcastle United,37,00:03:03.368,Pass,
,,,,,,,,,,,,,,,,2.399353,,,,,,,,,,,,effb759b-0cdb-4cda-96dc-30b9ab0a0fd0,103,,"[37.8, 54.9]",3754112,3,,,,-1.9271928,,Right Foot,,,"[29.2, 31.8]",,Ground Pass,,24.648935,,,,,Fabricio Coloccini,,,,,,1,Regular Play,Chancel Mbemba Mangulu,3044.0,Right Center Back,9,Newcastle United,37,['29d25f36-cf45-4c4a-b8bf-1f716ea593f2'],4,,,,,,,,,,,,,,,Newcastle United,37,00:03:04.377,Pass,
,,,,,,,,,,,,,,,,1.442872,,,,,,,,,,,,764ace36-0754-4031-a49e-d9286148daf1,106,,"[31.5, 30.9]",3754112,3,,,,-1.2705148,,Right Foot,,,"[37.6, 11.2]",,Ground Pass,,20.622803,,,,,Massadio Haïdara,,,,,,1,Regular Play,Fabricio Coloccini,26207.0,Left Center Back,9,Newcastle United,37,['91643332-5755-42c8-83d1-e0f968dbc07d'],10,,,,,,,,,,,,,,,Newcastle United,37,00:03:10.141,Pass,
